names,links
A.J. McKee,/fighter-profile/A.J.%20McKee/145313/
Abubakar Vagaev,/fighter-profile/Abubakar%20Vagaev/134125/
Ade Permana,/fighter-profile/Ade%20Permana/194929/
Aiemann Zahabi,/fighter-profile/Aiemann%20Zahabi/108146/
Ailin Perez,/fighter-profile/Ailin%20Perez/196056/
Aldelison de Souza Morais,/fighter-profile/Aldelison%20de%20Souza%20Morais/254558/
Aleksandar Rakic,/fighter-profile/Aleksandar%20Rakic/88896/
Alex Clayton,/fighter-profile/Alex%20Clayton/302810/
Alex Pereira,/fighter-profile/Alex%20Pereira/159790/
Alex Perez,/fighter-profile/Alex%20Perez/24370/
Alexa Grasso,/fighter-profile/Alexa%20Grasso/119773/
Alexander Romanov,/fighter-profile/Alexander%20Romanov/169037/
Alexander Volkanovski,/fighter-profile/Alexander%20Volkanovski/96455/
Alexander Volkov,/fighter-profile/Alexander%20Volkov/39344/
Alexandr Shabliy,/fighter-profile/Alexandr%20Shabliy/73924/
Alexandre Pantoja,/fighter-profile/Alexandre%20Pantoja/5215/
Alexia Thainara,/fighter-profile/Alexia%20Thainara/190657/
Ali Bagov,/fighter-profile/Ali%20Bagov/73931/
Ali Pellegrini,/fighter-profile/Ali%20Pellegrini/264439/
Alin Anggrianto,/fighter-profile/Alin%20Anggrianto/198330/
Aljamain Sterling,/fighter-profile/Aljamain%20Sterling/67768/
Alonzo Menifield,/fighter-profile/Alonzo%20Menifield/153834/
Amanda Lemos,/fighter-profile/Amanda%20Lemos/135315/
Amanda Ribas,/fighter-profile/Amanda%20Ribas/134223/
Amir Albazi,/fighter-profile/Amir%20Albazi/51999/
Anatoliy Kondratyev,/fighter-profile/Anatoliy%20Kondratyev/152705/
Anderson Silva,/fighter-profile/Anderson%20Silva/1342/
Angela Hill,/fighter-profile/Angela%20Hill/122606/
Anthony Hernandez,/fighter-profile/Anthony%20Hernandez/88873/
Anthony Smith,/fighter-profile/Anthony%20Smith/15643/
Antonio Rodrigo Nogueira,/fighter-profile/Antonio%20Rodrigo%20Nogueira/1426/
Ariane Lipski,/fighter-profile/Ariane%20Lipski/122086/
Arlene Blencowe,/fighter-profile/Arlene%20Blencowe/114189/
Arman Tsarukyan,/fighter-profile/Arman%20Tsarukyan/156278/
Arnold Allen,/fighter-profile/Arnold%20Allen/94462/
Aspen Ladd,/fighter-profile/Aspen%20Ladd/119199/
Asu Almabayev,/fighter-profile/Asu%20Almabayev/157381/
Ayaka Miura,/fighter-profile/Ayaka%20Miura/130768/
Azamat Murzakanov,/fighter-profile/Azamat%20Murzakanov/61426/
B.J. Penn,/fighter-profile/B.J.%20Penn/1293/
Bagdat Zhubanysh,/fighter-profile/Bagdat%20Zhubanysh/211495/
Begzhan Abilkassym,/fighter-profile/Begzhan%20Abilkassym/294694/
Belal Muhammad,/fighter-profile/Belal%20Muhammad/99960/
Bo Nickal,/fighter-profile/Bo%20Nickal/247572/
Bogdan Guskov,/fighter-profile/Bogdan%20Guskov/162293/
Brandon Moreno,/fighter-profile/Brandon%20Moreno/82307/
Brandon Royval,/fighter-profile/Brandon%20Royval/86030/
Brendan Allen,/fighter-profile/Brendan%20Allen/148934/
Brent Primus,/fighter-profile/Brent%20Primus/58782/
Brian Ortega,/fighter-profile/Brian%20Ortega/66594/
Brigid Chase,/fighter-profile/Brigid%20Chase/184469/
Cain Velasquez,/fighter-profile/Cain%20Velasquez/36943/
Caio Borralho,/fighter-profile/Caio%20Borralho/142194/
Calvin Kattar,/fighter-profile/Calvin%20Kattar/3998/
Carlos Leal Miranda,/fighter-profile/Carlos%20Leal%20Miranda/100389/
Carlos Prates,/fighter-profile/Carlos%20Prates/93495/
Carlos Ulberg,/fighter-profile/Carlos%20Ulberg/86471/
Casey ONeill,/fighter-profile/Casey%20ONeill/137553/
Charles Ebu,/fighter-profile/Charles%20Ebu/220768/
Charles Johnson,/fighter-profile/Charles%20Johnson/176321/
Charles Oliveira,/fighter-profile/Charles%20Oliveira/16466/
Chris Curtis,/fighter-profile/Chris%20Curtis/48220/
Chris Gutierrez,/fighter-profile/Chris%20Gutierrez/60931/
Chris Weidman,/fighter-profile/Chris%20Weidman/45135/
Chuck Liddell,/fighter-profile/Chuck%20Liddell/190/
Ciryl Gane,/fighter-profile/Ciryl%20Gane/193933/
Colby Covington,/fighter-profile/Colby%20Covington/58038/
Corey Anderson,/fighter-profile/Corey%20Anderson/134277/
Cory Sandhagen,/fighter-profile/Cory%20Sandhagen/102246/
Cristiane Justino,/fighter-profile/Cristiane%20Justino/26381/
Curtis Blaydes,/fighter-profile/Curtis%20Blaydes/134803/
Dakota Ditcheva,/fighter-profile/Dakota%20Ditcheva/210362/
Dan Henderson,/fighter-profile/Dan%20Henderson/193/
Dan Hooker,/fighter-profile/Dan%20Hooker/45026/
Dan Ige,/fighter-profile/Dan%20Ige/116900/
Daniel Cormier,/fighter-profile/Daniel%20Cormier/55077/
David Onama,/fighter-profile/David%20Onama/177259/
Deiveson Figueiredo,/fighter-profile/Deiveson%20Figueiredo/101055/
Demetrious Johnson,/fighter-profile/Demetrious%20Johnson/45428/
Denis Goltsov,/fighter-profile/Denis%20Goltsov/74124/
Denise Gomes,/fighter-profile/Denise%20Gomes/237655/
Derrick Lewis,/fighter-profile/Derrick%20Lewis/60462/
Dias Erengaipov,/fighter-profile/Dias%20Erengaipov/153399/
Diego Ferreira,/fighter-profile/Diego%20Ferreira/6540/
Diego Lopes,/fighter-profile/Diego%20Lopes/102023/
Dominick Cruz,/fighter-profile/Dominick%20Cruz/24039/
Dominick Reyes,/fighter-profile/Dominick%20Reyes/121385/
Donny Fajar Simangunsong,/fighter-profile/Donny%20Fajar%20Simangunsong/284390/
Dovletdzhan Yagshimuradov,/fighter-profile/Dovletdzhan%20Yagshimuradov/93897/
Dricus Du Plessis,/fighter-profile/Dricus%20Du%20Plessis/121477/
Dustin Jacoby,/fighter-profile/Dustin%20Jacoby/75586/
Dustin Poirier,/fighter-profile/Dustin%20Poirier/51041/
Eddie Alvarez,/fighter-profile/Eddie%20Alvarez/21242/
Eduarda Moura,/fighter-profile/Eduarda%20Moura/247945/
Ekaterina Shakalova,/fighter-profile/Ekaterina%20Shakalova/213260/
Elora Dana,/fighter-profile/Elora%20Dana/257465/
Erin Blanchfield,/fighter-profile/Erin%20Blanchfield/191822/
Evgeniy Goncharov,/fighter-profile/Evgeniy%20Goncharov/126423/
Fabian Edwards,/fighter-profile/Fabian%20Edwards/148617/
Fabricio Andrade,/fighter-profile/Fabricio%20Andrade/158828/
Fabricio Werdum,/fighter-profile/Fabricio%20Werdum/14357/
Faizal Lase,/fighter-profile/Faizal%20Lase/207851/
Fedor Emelianenko,/fighter-profile/Fedor%20Emelianenko/1486/
Forrest Molinari,/fighter-profile/Forrest%20Molinari/314544/
Francis Ngannou,/fighter-profile/Francis%20Ngannou/124534/
Frankie Edgar,/fighter-profile/Frankie%20Edgar/26110/
Gabriel Braga,/fighter-profile/Gabriel%20Braga/192781/
Gadzhi Rabadanov,/fighter-profile/Gadzhi%20Rabadanov/122920/
Gase Sanita,/fighter-profile/Gase%20Sanita/181778/
Genah Fabian,/fighter-profile/Genah%20Fabian/152418/
Geoff Neal,/fighter-profile/Geoff%20Neal/73564/
Georges St. Pierre,/fighter-profile/Georges%20St.%20Pierre/9489/
Giga Chikadze,/fighter-profile/Giga%20Chikadze/154715/
Gilbert Burns,/fighter-profile/Gilbert%20Burns/91716/
Gillian Robertson,/fighter-profile/Gillian%20Robertson/157339/
Gisele Moreira,/fighter-profile/Gisele%20Moreira/121620/
Grant Dawson,/fighter-profile/Grant%20Dawson/97526/
Haruo Ochi,/fighter-profile/Haruo%20Ochi/15321/
Heloiane Joizila Mira Monteiro,/fighter-profile/Heloiane%20Joizila%20Mira%20Monteiro/228055/
Henry Cejudo,/fighter-profile/Henry%20Cejudo/111411/
Hiromasa Ougikubo,/fighter-profile/Hiromasa%20Ougikubo/36733/
Holly Holm,/fighter-profile/Holly%20Holm/79257/
Ian Garry,/fighter-profile/Ian%20Garry/181716/
Iasmin Lucindo,/fighter-profile/Iasmin%20Lucindo/180004/
Ignacio Bahamondes,/fighter-profile/Ignacio%20Bahamondes/160434/
Ilia Topuria,/fighter-profile/Ilia%20Topuria/149195/
Impa Kasanganay,/fighter-profile/Impa%20Kasanganay/202248/
Irene Aldana,/fighter-profile/Irene%20Aldana/122561/
Islam Makhachev,/fighter-profile/Islam%20Makhachev/78816/
Islam Omarov,/fighter-profile/Islam%20Omarov/165957/
Israel Adesanya,/fighter-profile/Israel%20Adesanya/57140/
J.J. Aldrich,/fighter-profile/J.J.%20Aldrich/77506/
Jack Della Maddalena,/fighter-profile/Jack%20Della%20Maddalena/151951/
Jack Hermansson,/fighter-profile/Jack%20Hermansson/62334/
Jackie Cataline,/fighter-profile/Jackie%20Cataline/252600/
Jacqueline Cavalcanti,/fighter-profile/Jacqueline%20Cavalcanti/193673/
Jaeleen Robledo,/fighter-profile/Jaeleen%20Robledo/271920/
Jailton Almeida,/fighter-profile/Jailton%20Almeida/103055/
Jairzinho Rozenstruik,/fighter-profile/Jairzinho%20Rozenstruik/97054/
Jamahal Hill,/fighter-profile/Jamahal%20Hill/187069/
Jamie Edenden,/fighter-profile/Jamie%20Edenden/225952/
Jan Blachowicz,/fighter-profile/Jan%20Blachowicz/6004/
Jaqueline Amorim,/fighter-profile/Jaqueline%20Amorim/231741/
Jared Cannonier,/fighter-profile/Jared%20Cannonier/80751/
Jasmine Jasudavicius,/fighter-profile/Jasmine%20Jasudavicius/202640/
Jason Jackson,/fighter-profile/Jason%20Jackson/48359/
Jean Silva,/fighter-profile/Jean%20Silva/167652/
Jena Bishop,/fighter-profile/Jena%20Bishop/245601/
Jennifer Maia,/fighter-profile/Jennifer%20Maia/57884/
Jessica Andrade,/fighter-profile/Jessica%20Andrade/96004/
Jesus Pinedo,/fighter-profile/Jesus%20Pinedo/121896/
Jingnan Xiong,/fighter-profile/Jingnan%20Xiong/136318/
Jiri Prochazka,/fighter-profile/Jiri%20Prochazka/94459/
Jo Arai,/fighter-profile/Jo%20Arai/136858/
Joaquin Buckley,/fighter-profile/Joaquin%20Buckley/136103/
Joe Pyfer,/fighter-profile/Joe%20Pyfer/167228/
Joel Alvarez,/fighter-profile/Joel%20Alvarez/143278/
Johnny Eblen,/fighter-profile/Johnny%20Eblen/178464/
Johnny Walker,/fighter-profile/Johnny%20Walker/134658/
Jon Jones,/fighter-profile/Jon%20Jones/8116/
Jonathan Martinez,/fighter-profile/Jonathan%20Martinez/110971/
Jose Aldo,/fighter-profile/Jose%20Aldo/23446/
Joselyne Edwards,/fighter-profile/Joselyne%20Edwards/126709/
Josh Emmett,/fighter-profile/Josh%20Emmett/87983/
Joshua Pacio,/fighter-profile/Joshua%20Pacio/125667/
Joshua Van,/fighter-profile/Joshua%20Van/227103/
Josiel Silva,/fighter-profile/Josiel%20Silva/123837/
Joy Pendell,/fighter-profile/Joy%20Pendell/198807/
Julianna Pena,/fighter-profile/Julianna%20Pena/51396/
Junior dos Santos,/fighter-profile/Junior%20dos%20Santos/35149/
Justin Gaethje,/fighter-profile/Justin%20Gaethje/46751/
Kai Asakura,/fighter-profile/Kai%20Asakura/160822/
Kai Kara-France,/fighter-profile/Kai%20Kara-France/75447/
Kamaru Usman,/fighter-profile/Kamaru%20Usman/107983/
Kanji Funada,/fighter-profile/Kanji%20Funada/298350/
Karine Silva,/fighter-profile/Karine%20Silva/125246/
Karol Rosa,/fighter-profile/Karol%20Rosa/103307/
Karolina Sobek,/fighter-profile/Karolina%20Sobek/199940/
Karshyga Dautbek,/fighter-profile/Karshyga%20Dautbek/149792/
Katlyn Cerminara,/fighter-profile/Katlyn%20Cerminara/105121/
Kayla Harrison,/fighter-profile/Kayla%20Harrison/189815/
Kelly Ottoni,/fighter-profile/Kelly%20Ottoni/244313/
Kelvin Gastelum,/fighter-profile/Kelvin%20Gastelum/76464/
Ketlen Souza,/fighter-profile/Ketlen%20Souza/183460/
Ketlen Vieira,/fighter-profile/Ketlen%20Vieira/137829/
Kevin Holland,/fighter-profile/Kevin%20Holland/100357/
Khabib Nurmagomedov,/fighter-profile/Khabib%20Nurmagomedov/56833/
Khalil Rountree,/fighter-profile/Khalil%20Rountree/79751/
Khamzat Chimaev,/fighter-profile/Khamzat%20Chimaev/186918/
Kleber Koike Erbst,/fighter-profile/Kleber%20Koike%20Erbst/30828/
Koki Naito,/fighter-profile/Koki%20Naito/125651/
Konklak Suphisara,/fighter-profile/Konklak%20Suphisara/182547/
Koyuru Tanoue,/fighter-profile/Koyuru%20Tanoue/203976/
Kurban Gadzhiev,/fighter-profile/Kurban%20Gadzhiev/84868/
Kyler Phillips,/fighter-profile/Kyler%20Phillips/144424/
Kyoji Horiguchi,/fighter-profile/Kyoji%20Horiguchi/65742/
Larissa Pacheco,/fighter-profile/Larissa%20Pacheco/120387/
Layze Cerqueira,/fighter-profile/Layze%20Cerqueira/166676/
Leah McCourt,/fighter-profile/Leah%20McCourt/133257/
Leon Edwards,/fighter-profile/Leon%20Edwards/63931/
Lerone Murphy,/fighter-profile/Lerone%20Murphy/152749/
Linton Vassell,/fighter-profile/Linton%20Vassell/29602/
Lipin Sitorus,/fighter-profile/Lipin%20Sitorus/209097/
Lisa Zimmo,/fighter-profile/Lisa%20Zimmo/234146/
Liz Carmouche,/fighter-profile/Liz%20Carmouche/68471/
Luana Carolina,/fighter-profile/Luana%20Carolina/142966/
Lucia Szabova,/fighter-profile/Lucia%20Szabova/225812/
Lupita Godinez,/fighter-profile/Lupita%20Godinez/170493/
Lyoto Machida,/fighter-profile/Lyoto%20Machida/13483/
Mackenzie Dern,/fighter-profile/Mackenzie%20Dern/160429/
Macy Chiasson,/fighter-profile/Macy%20Chiasson/167405/
Magomed Ankalaev,/fighter-profile/Magomed%20Ankalaev/133781/
Magomed Magomedov,/fighter-profile/Magomed%20Magomedov/81775/
Magomed Umalatov,/fighter-profile/Magomed%20Umalatov/164115/
Magomedrasul Gasanov,/fighter-profile/Magomedrasul%20Gasanov/143981/
Mallory Martin,/fighter-profile/Mallory%20Martin/148469/
Manel Kape,/fighter-profile/Manel%20Kape/96327/
Manon Fiorot,/fighter-profile/Manon%20Fiorot/162084/
Marcin Tybura,/fighter-profile/Marcin%20Tybura/89017/
Marcus McGhee,/fighter-profile/Marcus%20McGhee/108627/
Marina Rodriguez,/fighter-profile/Marina%20Rodriguez/145021/
Mario Bautista,/fighter-profile/Mario%20Bautista/112418/
Marlon Vera,/fighter-profile/Marlon%20Vera/94287/
Marvin Vettori,/fighter-profile/Marvin%20Vettori/82499/
Mateusz Gamrot,/fighter-profile/Mateusz%20Gamrot/91147/
Matheus Nicolau,/fighter-profile/Matheus%20Nicolau/70942/
Matt Hughes,/fighter-profile/Matt%20Hughes/230/
Max Holloway,/fighter-profile/Max%20Holloway/31007/
Maycee Barber,/fighter-profile/Maycee%20Barber/174117/
Melissa Gatto,/fighter-profile/Melissa%20Gatto/144840/
Melissa Mullins,/fighter-profile/Melissa%20Mullins/190867/
Merab Dvalishvili,/fighter-profile/Merab%20Dvalishvili/126964/
Michael Chandler,/fighter-profile/Michael%20Chandler/51329/
Michael Chiesa,/fighter-profile/Michael%20Chiesa/46276/
Michael Morales,/fighter-profile/Michael%20Morales/181445/
Michael Page,/fighter-profile/Michael%20Page/91794/
Michelle Montague,/fighter-profile/Michelle%20Montague/209444/
Mikihito Yamagami,/fighter-profile/Mikihito%20Yamagami/27785/
Mingyang Zhang,/fighter-profile/Mingyang%20Zhang/168972/
Miranda Maverick,/fighter-profile/Miranda%20Maverick/163098/
Montel Jackson,/fighter-profile/Montel%20Jackson/153369/
Movsar Evloev,/fighter-profile/Movsar%20Evloev/140079/
Muhammad Mokaev,/fighter-profile/Muhammad%20Mokaev/165671/
Muslim Magomedov,/fighter-profile/Muslim%20Magomedov/171120/
Namiki Kawahara,/fighter-profile/Namiki%20Kawahara/147053/
Nassourdine Imavov,/fighter-profile/Nassourdine%20Imavov/157387/
Natalia Kuziutina,/fighter-profile/Natalia%20Kuziutina/273908/
Natalia Silva,/fighter-profile/Natalia%20Silva/144695/
Nathan Maness,/fighter-profile/Nathan%20Maness/127776/
Nicoly Giovanna Cavalcanti Pedroza,/fighter-profile/Nicoly%20Giovanna%20Cavalcanti%20Pedroza/263681/
Nikita Krylov,/fighter-profile/Nikita%20Krylov/101251/
Nora Cornolle,/fighter-profile/Nora%20Cornolle/227373/
Norma Dumont,/fighter-profile/Norma%20Dumont/165007/
Novan Kaunang,/fighter-profile/Novan%20Kaunang/207755/
Oleg Popov,/fighter-profile/Oleg%20Popov/152918/
Paddy Pimblett,/fighter-profile/Paddy%20Pimblett/87042/
Parli Tunena,/fighter-profile/Parli%20Tunena/207748/
Patricio Freire,/fighter-profile/Patricio%20Freire/21923/
Patrick Mix,/fighter-profile/Patrick%20Mix/128857/
Paul Hughes,/fighter-profile/Paul%20Hughes/125939/
Paulo Costa,/fighter-profile/Paulo%20Costa/121995/
Pedro Munhoz,/fighter-profile/Pedro%20Munhoz/53080/
Petr Yan,/fighter-profile/Petr%20Yan/141553/
Phil De Fries,/fighter-profile/Phil%20De%20Fries/46105/
Philipe Lins,/fighter-profile/Philipe%20Lins/66469/
Piera Rodriguez,/fighter-profile/Piera%20Rodriguez/171002/
Priscila Cachoeira,/fighter-profile/Priscila%20Cachoeira/161118/
Queila Pereira Americo Braga,/fighter-profile/Queila%20Pereira%20Americo%20Braga/219932/
Rafael Estevam,/fighter-profile/Rafael%20Estevam/148436/
Rafael Fiziev,/fighter-profile/Rafael%20Fiziev/150790/
Rafael dos Anjos,/fighter-profile/Rafael%20dos%20Anjos/23610/
Rafal Haratyk,/fighter-profile/Rafal%20Haratyk/67156/
Rahul Handika Ketaren,/fighter-profile/Rahul%20Handika%20Ketaren/289397/
Ramazan Kuramagomedov,/fighter-profile/Ramazan%20Kuramagomedov/168564/
Ramazonbek Temirov,/fighter-profile/Ramazonbek%20Temirov/155594/
Randy Brown,/fighter-profile/Randy%20Brown/108320/
Randy Couture,/fighter-profile/Randy%20Couture/164/
Raquel Pennington,/fighter-profile/Raquel%20Pennington/77505/
Raufeon Stots,/fighter-profile/Raufeon%20Stots/136078/
Reinier de Ridder,/fighter-profile/Reinier%20de%20Ridder/115332/
Renan Ferreira,/fighter-profile/Renan%20Ferreira/139271/
Renato Carneiro,/fighter-profile/Renato%20Carneiro/62862/
Riley Martinez,/fighter-profile/Riley%20Martinez/186312/
Rinat Fakhretdinov,/fighter-profile/Rinat%20Fakhretdinov/120941/
Rob Font,/fighter-profile/Rob%20Font/79160/
Rob Wilkinson,/fighter-profile/Rob%20Wilkinson/89115/
Robbie Lawler,/fighter-profile/Robbie%20Lawler/2225/
Robert Whittaker,/fighter-profile/Robert%20Whittaker/45036/
Roberto Satoshi de Souza,/fighter-profile/Roberto%20Satoshi%20de%20Souza/122468/
Robil Frotan,/fighter-profile/Robil%20Frotan/234635/
Roman Dolidze,/fighter-profile/Roman%20Dolidze/167861/
Roman Kopylov,/fighter-profile/Roman%20Kopylov/163937/
Rose Namajunas,/fighter-profile/Rose%20Namajunas/70692/
Ryan Bader,/fighter-profile/Ryan%20Bader/3090/
Ryohei Kurosawa,/fighter-profile/Ryohei%20Kurosawa/113035/
Sara Collins,/fighter-profile/Sara%20Collins/219017/
Sean Brady,/fighter-profile/Sean%20Brady/111825/
Sean OMalley,/fighter-profile/Sean%20OMalley/116060/
Sean Strickland,/fighter-profile/Sean%20Strickland/16617/
Sergei Pavlovich,/fighter-profile/Sergei%20Pavlovich/140715/
Sergey Bilostenniy,/fighter-profile/Sergey%20Bilostenniy/149277/
Serghei Spivac,/fighter-profile/Serghei%20Spivac/137889/
Sergio Pettis,/fighter-profile/Sergio%20Pettis/53360/
Shamil Musaev,/fighter-profile/Shamil%20Musaev/105273/
Shavkat Rakhmonov,/fighter-profile/Shavkat%20Rakhmonov/138031/
Si Woo Park,/fighter-profile/Si%20Woo%20Park/178359/
Sidney Outlaw,/fighter-profile/Sidney%20Outlaw/65580/
Sinead Kavanagh,/fighter-profile/Sinead%20Kavanagh/129654/
Sora Sugiyama,/fighter-profile/Sora%20Sugiyama/323038/
Stephen Thompson,/fighter-profile/Stephen%20Thompson/60803/
Steve Erceg,/fighter-profile/Steve%20Erceg/162133/
Steve Garcia,/fighter-profile/Steve%20Garcia/53335/
Stipe Miocic,/fighter-profile/Stipe%20Miocic/32099/
Tabatha Ricci,/fighter-profile/Tabatha%20Ricci/124764/
Tagir Ulanbekov,/fighter-profile/Tagir%20Ulanbekov/122914/
Tai Tuivasa,/fighter-profile/Tai%20Tuivasa/115260/
Taila Santos,/fighter-profile/Taila%20Santos/120000/
Takamasa Kiuchi,/fighter-profile/Takamasa%20Kiuchi/72781/
Talita Bernardo,/fighter-profile/Talita%20Bernardo/141537/
Tatiana Suarez,/fighter-profile/Tatiana%20Suarez/128878/
Tatiane Porfirio Aguiar,/fighter-profile/Tatiane%20Porfirio%20Aguiar/91624/
Tatsuro Taira,/fighter-profile/Tatsuro%20Taira/193867/
Taylor Guardado,/fighter-profile/Taylor%20Guardado/59656/
Tecia Pennington,/fighter-profile/Tecia%20Pennington/87314/
Timur Khizriev,/fighter-profile/Timur%20Khizriev/176021/
Tom Aspinall,/fighter-profile/Tom%20Aspinall/66532/
Tracy Cortez,/fighter-profile/Tracy%20Cortez/128825/
Tyron Woodley,/fighter-profile/Tyron%20Woodley/41178/
Umar Nurmagomedov,/fighter-profile/Umar%20Nurmagomedov/168206/
Urijah Faber,/fighter-profile/Urijah%20Faber/14812/
Usman Nurmagomedov,/fighter-profile/Usman%20Nurmagomedov/195760/
Vadim Nemkov,/fighter-profile/Vadim%20Nemkov/119877/
Valentin Moldavsky,/fighter-profile/Valentin%20Moldavsky/143613/
Valentina Shevchenko,/fighter-profile/Valentina%20Shevchenko/46252/
Vicente Luque,/fighter-profile/Vicente%20Luque/67795/
Vinicius Oliveira,/fighter-profile/Vinicius%20Oliveira/118130/
Virna Jandiroba,/fighter-profile/Virna%20Jandiroba/117308/
Viviane Araujo,/fighter-profile/Viviane%20Araujo/148645/
Volkan Oezdemir,/fighter-profile/Volkan%20Oezdemir/71672/
Wanderlei Silva,/fighter-profile/Wanderlei%20Silva/207/
Weili Zhang,/fighter-profile/Weili%20Zhang/141374/
Xiaonan Yan,/fighter-profile/Xiaonan%20Yan/69365/
Yadong Song,/fighter-profile/Yadong%20Song/97671/
Yair Rodriguez,/fighter-profile/Yair%20Rodriguez/98858/
Yana Santos,/fighter-profile/Yana%20Santos/49780/
Yearmie Moude Lee,/fighter-profile/Yearmie%20Moude%20Lee/267993/
Yoel Romero,/fighter-profile/Yoel%20Romero/61978/
Youssef Zalal,/fighter-profile/Youssef%20Zalal/162565/
Zarah Fairn,/fighter-profile/Zarah%20Fairn/119931/
Zurina Turrey,/fighter-profile/Zurina%20Turrey/241228/
